datestamp	certsIssued	certsActive	fqdnsActive	regDomainsActive
2016-01-11	6485	291336	393503	154111
2016-01-12	6597	297930	400868	157135
2016-01-13	6297	304219	409420	160060
2016-01-14	5911	310126	418202	163202
2016-01-15	5566	315691	426008	166053
2016-01-16	4183	319873	432834	168605
2016-01-17	4827	324697	438335	170472
2016-01-18	5697	330387	443482	172517
2016-01-19	5915	336294	450498	175150
2016-01-20	6643	342897	457459	177799
2016-01-21	7557	350409	466029	181167
2016-01-22	6591	356960	474899	184629
2016-01-23	6693	363642	482990	187824
2016-01-24	5192	368727	490702	191379
2016-01-25	6584	374917	496435	193642
2016-01-26	6821	381508	504559	196749
2016-01-27	28359	409579	512359	199959
2016-01-28	9342	418515	1807500	880926
2016-01-29	14066	432306	1877309	886673
2016-01-30	15456	447606	1893381	896808
2016-01-31	9972	457446	1911980	908827
2016-02-01	12738	469950	1922316	912855
2016-02-02	17945	485552	1934462	917657
2016-02-03	14651	498774	1953111	922291
2016-02-04	12468	510654	1969792	927467
2016-02-05	12385	522546	1983478	931833
2016-02-06	18077	540287	1996056	936178
2016-02-07	20227	560076	2014378	947177
2016-02-08	14529	572657	2034462	959362
2016-02-09	12722	584434	2049669	967520
2016-02-10	11444	595307	2066047	973016
2016-02-11	16144	610864	2078159	976996
2016-02-12	27174	637668	NULL	NULL
2016-02-13	11351	648633	NULL	NULL
2016-02-14	10763	658335	NULL	NULL
2016-02-15	15619	671544	NULL	NULL
2016-02-16	12569	683278	NULL	NULL
2016-02-17	13897	696628	NULL	NULL
2016-02-18	12578	708720	NULL	NULL
2016-02-19	15257	723584	NULL	NULL
2016-02-20	10523	733797	NULL	NULL
2016-02-21	11584	744767	NULL	NULL
2016-02-22	13950	756684	NULL	NULL
2016-02-23	12868	768805	NULL	NULL
2016-02-24	12034	780354	NULL	NULL
2016-02-25	12550	792558	NULL	NULL
2016-02-26	12891	805128	NULL	NULL
2016-02-27	12808	817627	NULL	NULL
2016-02-28	10327	827525	2316234	1069243
2016-02-29	19962	845862	NULL	NULL
2016-03-01	22779	867984	NULL	NULL
2016-03-02	18890	876509	NULL	NULL
2016-03-03	19189	875254	NULL	NULL
2016-03-04	17555	882700	NULL	NULL
2016-03-05	14129	889329	NULL	NULL
2016-03-06	13976	894094	NULL	NULL
2016-03-07	18263	904773	NULL	NULL
2016-03-08	22280	919502	NULL	NULL
2016-03-09	27097	940170	NULL	NULL
2016-03-10	31963	965837	NULL	NULL
2016-03-11	34934	995397	NULL	NULL
2016-03-12	13043	1002879	NULL	NULL
2016-03-13	11922	1008770	NULL	NULL
2016-03-14	17460	1019276	NULL	NULL
2016-03-15	13955	1024749	2755628	1238906
2016-03-16	14161	1031466	NULL	NULL
2016-03-17	13622	1039156	NULL	NULL
2016-03-18	15316	1050026	NULL	NULL
2016-03-19	14459	1056314	NULL	NULL
2016-03-20	14874	1065580	NULL	NULL
2016-03-21	17109	1073922	NULL	NULL
2016-03-22	50012	1118018	NULL	NULL
2016-03-23	20157	1134073	NULL	NULL
2016-03-24	18311	1149033	NULL	NULL
2016-03-25	16333	1161893	NULL	NULL
2016-03-26	14691	1172614	NULL	NULL
2016-03-27	14312	1181428	NULL	NULL
2016-03-28	15931	1191323	NULL	NULL
2016-03-29	17149	1203193	NULL	NULL
2016-03-30	19490	1216909	NULL	NULL
2016-03-31	23284	1234467	NULL	NULL
2016-04-01	22014	1251829	NULL	NULL
2016-04-02	13127	1260261	NULL	NULL
2016-04-03	13761	1267612	NULL	NULL
2016-04-04	40981	1302302	NULL	NULL
2016-04-05	19323	1315280	3214580	1427274
2016-04-06	18197	1327025	NULL	NULL
2016-04-07	25575	1346325	NULL	NULL
2016-04-08	33962	1375871	NULL	NULL
2016-04-09	15045	1385420	NULL	NULL
2016-04-10	16818	1395753	NULL	NULL
2016-04-11	24098	1413254	NULL	NULL
2016-04-12	28557	1435514	NULL	NULL
2016-04-13	44208	1473811	3831500	1727397
2016-04-14	22437	1490682	NULL	NULL
2016-04-15	29588	1516087	NULL	NULL
2016-04-16	28196	1539456	NULL	NULL
2016-04-17	29531	1563290	NULL	NULL
2016-04-18	27062	1584437	NULL	NULL
2016-04-19	28246	1606040	NULL	NULL
2016-04-20	24905	1623388	NULL	NULL
2016-04-21	31535	1648332	NULL	NULL
2016-04-22	17796	1659435	NULL	NULL
2016-04-23	15676	1669919	NULL	NULL
2016-04-24	46653	1709988	NULL	NULL
2016-04-25	53020	1756187	NULL	NULL
2016-04-26	49037	1776865	NULL	NULL
2016-04-27	40935	1808458	NULL	NULL
2016-04-28	27946	1822338	NULL	NULL
2016-04-29	26802	1833684	4182568	1865534
2016-04-30	32359	1856071	NULL	NULL
