2015-10-08	2	2	1	1
2015-10-09	4	6	5	2
2015-10-10	1	7	6	2
2015-10-11	3	10	9	2
2015-10-12	1	11	10	2
2015-10-13	4	15	14	3
2015-10-14	3	18	17	4
2015-10-15	3	21	19	4
2015-10-16	8	29	27	8
2015-10-17	4	33	33	9
2015-10-18	1	34	34	9
2015-10-19	1	35	35	9
2015-10-20	3	38	38	9
2015-10-21	7	45	50	13
2015-10-22	8	53	58	16
2015-10-23	40	93	120	49
2015-10-24	45	138	161	78
2015-10-25	40	178	202	101
2015-10-26	11	189	216	107
2015-10-27	107	296	354	199
2015-10-28	394	690	831	497
2015-10-29	230	920	1155	702
2015-10-30	287	1208	1499	903
2015-10-31	406	1614	1994	1197
2015-11-01	275	1889	2358	1387
2015-11-02	156	2045	2544	1498
2015-11-03	132	2177	2696	1573
2015-11-04	234	2411	2994	1709
2015-11-05	2342	4754	6055	3401
2015-11-06	1423	6183	7808	4360
2015-11-07	588	6771	8445	4725
2015-11-08	493	7264	9017	5057
2015-11-09	336	7600	9393	5265
2015-11-10	437	8038	9843	5501
2015-11-11	1948	9986	12303	6457
2015-11-12	945	10931	13262	6872
2015-11-13	571	11502	13819	7135
2015-11-14	587	12089	14355	7402
2015-11-15	370	12459	14698	7571
2015-11-16	386	12845	15061	7746
2015-11-17	1061	13906	16414	8309
2015-11-18	2410	16316	19361	9560
2015-11-19	835	17151	20274	9931
2015-11-20	547	17698	20954	10187
2015-11-21	486	18184	21392	10394
2015-11-22	393	18577	21738	10550
2015-11-23	310	18887	22066	10694
2015-11-24	613	19501	22715	10961
2015-11-25	2032	21534	26059	12042
2015-11-26	747	22281	26814	12374
2015-11-27	485	22766	27260	12560
2015-11-28	346	23112	27582	12727
2015-11-29	321	23433	27881	12873
2015-11-30	308	23742	28149	12996
2015-12-01	429	24171	28462	13149
2015-12-02	1624	25796	30287	13918
2015-12-03	657	26453	30861	14183
2015-12-04	10364	36818	45416	20471
2015-12-05	20437	57262	72153	32351
2015-12-06	10105	67371	85209	38233
2015-12-07	7492	74871	94428	42261
2015-12-08	9208	84082	105874	47458
2015-12-09	7581	91666	115528	51806
2015-12-10	7551	99217	125726	56196
2015-12-11	6422	105646	133890	59702
2015-12-12	6292	111942	142421	63090
2015-12-13	5371	117316	149303	66103
2015-12-14	5561	122877	156685	69077
2015-12-15	6028	128908	164592	72277
2015-12-16	6949	135862	173939	76236
2015-12-17	8481	144344	187060	81695
2015-12-18	7440	151788	197966	86291
2015-12-19	5931	157720	206280	89866
2015-12-20	4445	162166	212868	92437
2015-12-21	8164	170337	223367	96864
2015-12-22	5606	175945	230715	99906
2015-12-23	8767	184712	245581	104780
2015-12-24	5916	190628	261305	108375
2015-12-25	4100	194730	268482	110584
2015-12-26	3351	198081	275741	112417
2015-12-27	3470	201554	281834	114233
2015-12-28	3969	205524	288350	116271
2015-12-29	5494	211022	297160	119378
2015-12-30	6029	217058	306262	122699
2015-12-31	5274	222337	314900	125615
2016-01-01	5771	228111	321762	127789
2016-01-02	5712	233837	328712	130013
2016-01-03	4646	238489	336192	132529
2016-01-04	4692	243184	342805	134790
2016-01-05	6408	249594	351308	138071
2016-01-06	6288	255883	359558	141184
2016-01-07	6341	262224	367252	144259
2016-01-08	6449	268675	375093	147353
