submission_date,os,country,reporting_ratio,normalized_pageloads,ratio
2017-10-24T00:00:00,Windows_NT,CZ,0.006825266611977031,1.759145263985348e-05,0.6916961976822144
2017-12-05T00:00:00,Windows_NT,MY,0.007862624229462826,3.109715940750653e-05,0.8861678495963591
2017-12-05T00:00:00,Windows_NT,PL,0.004676877214862584,0.00010617379283647608,0.867623022359046
2017-12-05T00:00:00,Windows_NT,SE,0.013180054184667203,3.765288608327225e-05,0.9140415249686773
2018-01-14T00:00:00,Windows_NT,ZA,0.0059445178335535,1.3509076454970329e-05,0.19057121476677474
2018-01-11T00:00:00,Windows_NT,US,0.008530369186386496,0.0002851412559444654,0.739894468769019
2017-12-03T00:00:00,Windows_NT,CZ,0.00901058525063424,1.7143284226655414e-05,0.6950368550368551
2018-01-16T00:00:00,Windows_NT,UA,0.00535376863321436,1.7190459849097314e-05,0.7393903753797902
2017-11-10T00:00:00,Windows_NT,US,0.011144810592179073,0.0003141896454630665,0.7075986700986701
2018-01-04T00:00:00,Windows_NT,PL,0.004625089453735853,9.352567149107047e-05,0.7986308773194019
2017-12-01T00:00:00,Windows_NT,BR,0.004401997829784287,3.924506334068644e-05,0.5364701841755034
2018-01-06T00:00:00,Windows_NT,VE,0.009632007903185972,1.1982608100243076e-05,0.766872890888639
2018-01-06T00:00:00,Windows_NT,UA,0.007153142273212875,1.3451791770576592e-05,0.7221943887775552
2017-12-20T00:00:00,Windows_NT,MY,0.008610567514677104,2.9715587607422263e-05,0.8756591257016499
2017-11-21T00:00:00,Linux,DE,0.009972029672868782,1.2316207144653668e-05,0.5043775649794802
2017-12-08T00:00:00,Windows_NT,CZ,0.008529228208862077,1.832098994404432e-05,0.7021335295199559
2017-11-12T00:00:00,Windows_NT,ID,0.006000187505859558,2.417413681415743e-05,0.7227488151658767
2018-01-01T00:00:00,Windows_NT,IN,0.007302461331222158,4.192227991426437e-05,0.6806124909573186
2017-10-21T00:00:00,Windows_NT,HU,0.007364301163868575,9.876553526943885e-06,0.5049471170249061
2017-10-21T00:00:00,Windows_NT,UA,0.00848448119129042,1.0267437255748214e-05,0.6734492943879226
2017-10-21T00:00:00,Windows_NT,SE,0.01216931216931217,1.1317094855080532e-05,0.656245347625428
2017-11-15T00:00:00,Windows_NT,US,0.010328171870854002,0.00034669701901285415,0.7531806739432582
2017-11-03T00:00:00,Windows_NT,CZ,0.008102144898180634,4.215310349549796e-05,0.2714337103801111
2017-11-01T00:00:00,Windows_NT,BR,0.004961863672983819,6.321533407214851e-05,0.4401119402985075
2017-11-01T00:00:00,Windows_NT,CH,0.007633587786259542,1.1055944087991432e-05,0.786193233770192
2017-11-08T00:00:00,Windows_NT,IR,0.0063302346170872065,2.0181057343182166e-05,0.49507430288862914
2017-11-08T00:00:00,Windows_NT,CZ,0.007215957417620106,1.80632088642725e-05,0.7152317880794702
2017-08-30T00:00:00,Windows_NT,LK,0.017111853088480802,9.521051514970982e-06,0.3248982480976818
2017-09-08T00:00:00,Darwin,US,0.020927887039838628,8.758154306339083e-05,0.677157477588396
2017-11-27T00:00:00,Windows_NT,TR,0.006405578529149436,1.3401246460817411e-05,0.5700276590394769
2018-01-02T00:00:00,Windows_NT,BR,0.004102066882335941,2.8359288462217584e-05,0.6021863117870723
2017-12-24T00:00:00,Darwin,US,0.01702520786590999,5.014768665574169e-05,0.7683779061954038
2017-12-22T00:00:00,Windows_NT,UA,0.006219789593403469,1.1519276094117254e-05,0.7384817902588855
2017-12-22T00:00:00,Windows_NT,IN,0.007535267597440372,6.266944472674936e-05,0.6451769007420153
2017-07-17T00:00:00,Windows_NT,NL,0.012029541716386623,1.828897791453017e-05,0.6504836480884385
2018-01-08T00:00:00,Windows_NT,ID,0.0048734610123119014,4.436867290660871e-05,0.6970836181362497
2017-11-20T00:00:00,Windows_NT,SE,0.013102008494708803,1.8829812728953403e-05,0.827755905511811
2017-11-20T00:00:00,Windows_NT,MY,0.008046775500752576,1.1861299356821042e-05,0.5643465909090909
2017-06-21T00:00:00,Darwin,GB,0.01970284237726098,1.0757726760412266e-05,0.6947533281127642
2017-09-02T00:00:00,Windows_NT,IR,0.008826665613522373,2.2467390187955768e-05,0.5307836520434945
2017-09-04T00:00:00,Windows_NT,PL,0.006275521799373914,5.8789249780902934e-05,0.6350270827959763
2017-09-04T00:00:00,Windows_NT,SE,0.012095713910070997,1.4380140626486875e-05,0.6635032220269479
2017-09-04T00:00:00,Windows_NT,MY,0.01168736303871439,8.559005785887911e-06,0.5875984251968503
2017-09-04T00:00:00,Windows_NT,HU,0.006456845191677844,1.2922750861763834e-05,0.7293350717079531
2017-12-17T00:00:00,Windows_NT,UA,0.006622516556291391,1.4578952178206317e-05,0.7541892985091876
2017-11-05T00:00:00,Windows_NT,HU,0.005459796047288151,9.492409172774113e-06,0.6400425985090522
2017-11-05T00:00:00,Windows_NT,UA,0.0067733990147783255,1.0715605668946283e-05,0.7105345911949685
2017-09-21T00:00:00,Windows_NT,IN,0.009100850371947798,8.689075716334869e-05,0.6128131544248817
2017-09-21T00:00:00,Windows_NT,VE,0.015407635069556778,2.505531004762581e-05,0.6917490417591285
2017-11-24T00:00:00,Darwin,US,0.017555301918582532,6.203425866744232e-05,0.6521632852603275
2017-10-29T00:00:00,Windows_NT,SI,0.007200523674449051,1.4744066856752974e-05,0.3454462347160325
2017-05-31T00:00:00,Windows_NT,CN,0.005049980257278829,2.810656191342168e-05,0.27682532070495147
2017-11-11T00:00:00,Windows_NT,BR,0.005301887044431683,2.386244073730915e-05,0.6206312221986867
